OBJECTID,COMPONENT,SITE_NAME,JOINT_BASE,STATE_TERR,COUNTRY,OPER_STAT,PERIMETER,AREA,Shape_Length,Shape_Area
1,Army Active,Fort Lee,N/A,Virginia,United States,Active,23.18682471,8.85401196,48133.85363,36256621.26
2,Army Active,Fort Myer,Joint Base Myer - Henderson Hall,Virginia,United States,Active,4.68079801,0.42035691,9953.063202,1799070.596
3,Army Active,Letterkenny Army Depot,N/A,Pennsylvania,United States,Active,26.41286105,28.0193493,57283.47455,123884195.6
4,Army Active,Redstone Arsenal,N/A,Alabama,United States,Active,36.82437325,59.65636472,73710.27166,228766130.7
6,Army Active,Pohakuloa Training Area,N/A,Hawaii,United States,Active,89.06464246,205.6747692,152591.132,604225947.3
9,Army Active,Yakima Training Center,Joint Base Lewis - McChord,Washington,United States,Active,119.3062295,511.1210634,288699.2392,2818078804
11,Army Active,Anniston Army Depot,N/A,Alabama,United States,Active,23.96588335,24.34134505,47656.47815,91222066.36
12,Army Active,Fort A P Hill,N/A,Virginia,United States,Active,56.23083171,116.5807958,118382.1619,488607985.2
13,Army Active,Fort Campbell TN,N/A,Tennessee,United States,Active,53.88963469,105.5917408,112830.5875,425111055.3
14,Army Active,Arlington National Cemetery,N/A,Virginia,United States,Active,5.87883889,0.9728508,12491.32133,4163569.171
27,Army Reserve,Fort Hunter Liggett,N/A,California,United States,Active,112.2852801,252.8114735,230440.8494,1001382159
41,Army Active,Fort Huachuca,N/A,Arizona,United States,Active,76.52089724,126.2449889,148085.6951,451782992.2
43,Army Active,Fort Carson,N/A,Colorado,United States,Active,70.91682378,215.5272868,149422.0534,914283419.8
44,Army Active,Pinon Canyon,N/A,Colorado,United States,Active,102.4938555,367.9802549,215458.8967,1516772155
46,Army Active,Fort Gordon,N/A,Georgia,United States,Active,49.52881821,86.73309413,98362.81906,322843994.9
49,Army Reserve,Parks Reserve Forces Tng Area,N/A,California,United States,Active,12.10233686,3.74509133,25372.59162,15532840.68
50,Army Active,Lake Of The Ozarks Recreation,N/A,Missouri,United States,Active,3.84473544,0.50059651,8074.671523,2096437.176
51,Army Active,Fort Jackson,N/A,South Carolina,United States,Active,42.46091876,82.3615815,85486.84147,311440563.8
52,Army Active,Fort Knox,N/A,Kentucky,United States,Active,85.35675698,170.0075073,179278.3449,708471005.5
53,Army Active,Fort Leavenworth,N/A,Kansas,United States,Active,15.80601106,8.91071797,33845.98114,38661612.12
58,Army Active,Fort Leonard Wood,N/A,Missouri,United States,Active,51.59341215,96.41521477,108216.9781,399621817.7
60,Army Active,England Authority,N/A,Louisiana,United States,Active,6.03853789,0.59628627,11598.97348,2123404.833
