OBJECTID,COMPONENT,SITE_NAME,JOINT_BASE,STATE_TERR,COUNTRY,OPER_STAT,PERIMETER,AREA,Shape_Length,Shape_Area
2060,AF Active,Malmstrom AFB,N/A,Montana,United States,Active,11.7428722,5.1197989,28870.4971,29042303.64
2811,AF Guard,Great Falls IAP,N/A,Montana,United States,Active,2.26656673,0.20885517,5536.050297,1183414.259
3927,Army Guard,NG MTA Ft Wm Henry Harrison,N/A,Montana,United States,Active,21.55054196,10.25194574,52091.06792,56277989.69
3930,Army Guard,NG Helena Aviation RC- AASF- C12,N/A,Montana,United States,Active,1.25925768,0.09363348,3045.74751,513667.4062
4336,Army Guard,NG MTA Limestone Hills,N/A,Montana,United States,Active,29.45076375,33.30838897,70422.01925,180512631.5
977,Army Active,Cornhusker AAP,N/A,Nebraska,United States,Inactive,5.00437744,0.58275256,11050.29154,2647490.326
1763,AF Active,Offut AFB,N/A,Nebraska,United States,Active,11.89015959,3.27800877,26197.02943,14972870.17
2946,AF Guard,Lincoln Map,N/A,Nebraska,United States,Active,2.00348056,0.17831156,4396.232584,807718.9653
3546,Army Guard,NG Mead TS/FMS 06/Utes 02,N/A,Nebraska,United States,Active,6.08187224,1.86137173,13430.81875,8521607.208
3547,Army Guard,NG Camp Ashland,N/A,Nebraska,United States,Active,7.23770611,1.63072717,15787.78185,7440105.561
3548,Army Guard,NG Greenlief TS/UTES 01,N/A,Nebraska,United States,Active,10.01845917,5.14415871,21699.17602,23097912.75
4569,Army Guard,NG Lincoln AASF/Readiness Center,N/A,Nebraska,United States,Active,1.41407174,0.10204771,3129.73096,462198.0094
4570,Army Guard,NG Grand Island AASF/RC,N/A,Nebraska,United States,Active,1.04771756,0.07795223,2298.923599,354388.438
658,Army Active,Hawthorne Army Depot,N/A,Nevada,United States,Active,152.4509978,228.2433508,323910.0957,967745616.7
1704,AF Active,Creech AFB,N/A,Nevada,United States,Active,123.2728757,211.7709777,255508.62,853198423.3
1709,AF Active,Nellis Annex,N/A,Nevada,United States,Active,0.64412064,0.02516764,1329.1438,100402.308
2861,AF Guard,Reno Tahoe IAP,N/A,Nevada,United States,Active,1.31415086,0.09400832,2833.305038,409464.2058
4690,Army Guard,NG Floyd Edsall Training Center,N/A,Nevada,United States,Active,8.56167604,2.61604132,17567.67082,10450125.11
4726,Army Guard,NG Anthony Cometa Complex,N/A,Nevada,United States,Active,1.66111534,0.09003115,3375.75922,357166.551
5487,Navy Active,Target B-16,N/A,Nevada,United States,Active,42.94972842,43.30089688,92479.6466,187738505.2
5488,Navy Active,Target B-17,N/A,Nevada,United States,Active,38.12624532,85.3415596,81288.1746,368623145.6
5489,Navy Active,Target B-19,N/A,Nevada,United States,Active,30.38021256,45.43320157,65906.2506,196083596.7
5490,Navy Active,Target B-20,N/A,Nevada,United States,Active,31.23794144,64.2574269,67589.17257,282987615.4
6060,Navy Active,NAS Fallon NV,N/A,Nevada,United States,Active,22.06630679,13.30250948,47361.10842,57812079.73
6075,AF Active,Nellis AFB,N/A,Nevada,United States,Active,47.38528664,29.83938631,97712.29713,119133023.5
6125,AF Active,Nellis Air Force Range,N/A,Nevada,United States,Active,489.0933186,4513.483912,1017173.782,18511550560
2229,AF Active,Newington Defense Fuel Support Point,N/A,New Hampshire,United States,Active,2.11401517,0.25103042,4802.676505,1220633.495
2521,AF Active,New Boston Air Station,N/A,New Hampshire,United States,Active,9.25955043,4.51049368,21056.42516,21806815.23
2855,AF Guard,Pease ANGB,N/A,New Hampshire,United States,Active,2.9033002,0.33578116,6578.306123,1631400.739
4099,Army Guard,NG Training Site,N/A,New Hampshire,United States,Active,2.31373291,0.16360676,5220.903552,799780.0908
677,Army Active,Picatinny Arsenal,N/A,New Jersey,United States,Active,21.652624,10.27481807,47441.75799,46701010.1
897,Army Active,Fort Monmouth Main Post,N/A,New Jersey,United States,Inactive,16.06671107,1.56333404,35123.87206,6970273.197
1309,Navy Active,Waterfront,N/A,New Jersey,United States,Active,2.72277215,0.15382455,5864.677177,688166.8244
1311,Navy Active,Naval Weapons Station Earle NJ,N/A,New Jersey,United States,Active,23.79425256,13.36624457,51504.02656,59501630.48
2772,AF Guard,Atlantic City IAP,N/A,New Jersey,United States,Active,3.86036065,0.46246532,8301.709248,2011326.709
2918,AF Active,Dix,Joint Base McGuire - Dix - Lakehurst,New Jersey,United States,Active,54.00688149,48.42194574,117271.1303,213988762.5
2920,AF Active,Lakehurst,Joint Base McGuire - Dix - Lakehurst,New Jersey,United States,Active,19.03346649,11.62878241,41616.62165,51425864.88
4634,Army Guard,NG Sea Girt NJ NGTC,N/A,New Jersey,United States,Active,2.38799542,0.27220755,5174.588381,1207163.989
4651,Army Guard,NG Lawrenceville,N/A,New Jersey,United States,Active,1.61750645,0.12211461,3504.638282,543861.0765
5936,AF Active,McGuire,Joint Base McGuire - Dix - Lakehurst,New Jersey,United States,Active,12.06451918,4.9862457,26169.31894,22049494.46
261,Army Active,White Sands Missile Range NM,N/A,New Mexico,United States,Active,332.1331893,3548.570164,648984.1004,13150788697
991,Army Active,Fort Wingate Depot Activity,N/A,New Mexico,United States,Inactive,22.06779046,12.90102004,44885.73321,50477869.22
1839,AF Active,Kirtland,N/A,New Mexico,United States,Active,53.75878941,78.48517719,109292.6766,303623142.3
2461,AF Active,Cannon AFB,N/A,New Mexico,United States,Active,12.80012055,6.34170532,25685.00052,24175265.56
2465,AF Active,Cannon AFB Site 2,N/A,New Mexico,United States,Active,2.82718202,0.4416304,5727.010109,1684506.31
2466,AF Active,Melrose Air Force Range,N/A,New Mexico,United States,Active,49.68520507,91.70461905,99259.36799,348780288.9
3659,Army Guard,NG Santa Fe - Onate Complex TS,N/A,New Mexico,United States,Active,3.4606317,0.51806938,7116.581037,2032434.991
4402,Army Guard,NG Las Cruces,N/A,New Mexico,United States,Active,2.17655116,0.14605195,4239.255634,530702.4202
4404,Army Guard,NG Rio Rancho TS,N/A,New Mexico,United States,Active,1.84489447,0.18650518,3716.676301,728144.4722
5978,AF Active,Holloman AFB,N/A,New Mexico,United States,Active,53.65912605,79.56915038,105002.4295,293258067.7
257,Army Active,Stewart Annex,N/A,New York,United States,Active,0.54336624,0.01577849,1212.77119,72897.14707
272,Army Active,West Point Military Reservation,N/A,New York,United States,Active,37.18808259,24.77684534,82034.55519,114012756.2
645,Army Active,Fort Drum,N/A,New York,United States,Active,83.64489799,170.1439048,193275.2809,855405629.2
647,Army Active,Fort Hamilton,N/A,New York,United States,Active,3.24169841,0.27630773,7098.4658,1242979.116
872,Army Active,Watervliet Arsenal,N/A,New York,United States,Active,2.72594444,0.20726435,6153.835073,995090.8509
1201,MC Reserve,Brooklyn NY,N/A,New York,United States,Active,1.82389359,0.14775903,4001.292392,664160.3807
1213,MC Reserve,Syracuse MCRC,N/A,New York,United States,Active,1.09136432,0.06630363,2507.339506,322248.3768
1352,Navy Active,NSA Saratoga Springs NY,N/A,New York,United States,Active,0.83752619,0.03516218,1912.019741,170780.6252
2522,AF Reserve,Niagara Falls,N/A,New York,United States,Active,7.01311971,0.98617091,16058.4848,4795074.597
2804,AF Guard,Francis S Gabreski Airport,N/A,New York,United States,Active,1.55114703,0.12961243,3398.57358,587043.1379
2813,AF Guard,Hancock Field,N/A,New York,United States,Active,3.69960181,0.42186999,8526.991214,2050549.721
2878,AF Guard,Schenectady ANG MAP,N/A,New York,United States,Active,2.44305308,0.19697492,5512.534444,949716.4786
2890,AF Guard,Stewart IAP,N/A,New York,United States,Active,2.74601337,0.40548721,6103.843495,1873879.451
