datetime,city,state,country,shape,duration,summary,posted,latitude,longitude
4/30/2020 0:00,Thibodaux,LA,us,Light,5,"14 Objects in a row, one behind each other and watch one by one disappear. ((Starlink satellites?))",6/25/2020,29.7957,-90.8225
4/30/2020 23:49,St. Petersburg,FL,us,Other,7 minutes,There were three dots in a straight line slowly moving for a while then boom vanish!,6/25/2020,27.7721,-82.6385
4/30/2020 22:43,Edgewood,WA,us,Unknown,15-20 seconds,"Location of sighting: Edgewood, WA Date: Thursday April 30th Time: 10:43 PM Weather conditions: clear and other stars visible On Thurs",6/25/2020,28.4843,-81.372
4/30/2020 22:30,Vergas,MN,us,Light,>2 hours,White moving light. ((NUFORC Note: Venus?? PD)),6/25/2020,46.6585,-95.803
4/30/2020 22:00,Jacksonville,FL,us,Light,5 minutes,"Looked like stars, could have been satellites, but 50? ((Starlink satellites?))",6/25/2020,30.326,-81.6568
4/30/2020 22:00,Tavares,FL,us,Formation,5 minutes,Fast moving formation of 20+ objects flying 2 abreast. ((Starlink satellites?)),6/25/2020,28.8052,-81.7323
4/30/2020 22:00,Calgary (Canada),AB,us,Disk,<5 minutes,"At approximately 10:00pm, I spotted a large white light in the sky, it was very bright. I went outside to inspect it further and the li",6/25/2020,,
4/30/2020 22:00,Lincoln,AL,us,Other,10-15 minutes,Lights moving across the night sky. ((Starlink satellites?)),6/25/2020,40.8136,-96.7026
4/30/2020 21:43,Miami,FL,us,Unknown,0:15,Hovering bright light,6/25/2020,25.7751,-80.1947
4/30/2020 21:35,Montverde,FL,us,Unknown,5 Minutes,West to East was a straight line of what appeared to be air craft of some sort. ((Starlink satellites?)),6/25/2020,28.601,-81.6727
4/30/2020 21:30,Redmond,WA,us,Light,20 minutes,long string of moving lights. ((Starlink satellites?)),6/25/2020,47.6749,-122.124
4/30/2020 21:30,Davie,FL,us,Formation,3:00 Minutes,6 craft line formation over south Florida. ((Starlink satellites?)),6/25/2020,26.0651,-80.2322
4/30/2020 21:30,Jacksonville,FL,us,Light,2 minutes,There were 10-20 Star-like figures gliding across the sky in unison. ((Starlink satellites?)),6/25/2020,30.326,-81.6568
4/30/2020 21:25,St. Cloud,FL,us,Formation,5 to 10 minutes,Just outside and looked at the sky and there was a line of UFOs about 15 to 20 objects. ((Starlink satellites?)),6/25/2020,28.2489,-81.2801
4/30/2020 21:25,Jacksonville,FL,us,Unknown,2 minutes,Lights moving astronomically fast around the sky they stopped moving and stood still for about 15 seconds and then zoomed off,6/25/2020,30.326,-81.6568
4/30/2020 21:23,Tampa,FL,us,Circle,5 min maybe,Atleast 20 circular objects flying in a straight line at the same speed. ((Starlink satellites?)),6/25/2020,27.9474,-82.4588
4/30/2020 21:20,Jupiter,FL,us,Formation,5 minutes,string of lights. ((Starlink satellites?)),6/25/2020,26.9341,-80.0997
4/30/2020 21:20,Honolulu,HI,us,Unknown,1 minute,I was shootimg darts in my carport and saw a military helicopter flyer way faster than usual. As it get closer to land i niticed a wh,6/25/2020,21.3099,-157.8582
4/30/2020 21:20,DeLand,FL,us,Light,5 minutes,there was A-line of lights moving a cross the sky. They were moving North to South. ((Starlink satellites?)),6/25/2020,29.0281,-81.2993
4/30/2020 21:15,Coconut Creek,FL,us,Formation,Less than a minute,Dots of light in a line formation slowly moved in a southwest upward motion and each disappeared as it looked to be going upward.,6/25/2020,26.2784,-80.1824
4/30/2020 21:15,Brooksville,FL,us,Light,10,"Long string of 24+ equally spaced lights moving across the sky from North to South in Brooksville, FL.",6/25/2020,28.5549,-82.3879
4/30/2020 21:15,New Smyrna Beach,FL,us,Light,20 seconds,Numerous lights flying across the sky in a straight line and equidistant. ((Starlink satellites?)),6/25/2020,29.0297,-80.9237
4/30/2020 21:15,Coral Springs,FL,us,Light,3:00,It was a consistent line of moving lights evenly spaced. ((Starlink satellites?)),6/25/2020,26.2725,-80.2542
4/30/2020 21:15,Fort Myers,FL,us,Rectangle,1 minute,"A line of line of lights 7 in front, 5 in the middle, and another 6 or 7 in front. ((Starlink satellites?))",6/25/2020,26.6141,-81.8258
4/30/2020 21:10,St. Augustine,FL,us,Light,5 minutes,20 plus lights in single file. About 5 minutes viewing. Last 2 lights were side by side. ((Starlink satellites?)),6/25/2020,29.896,-81.3167
4/30/2020 21:09,Des Moines,IA,us,Disk,2 minutes,hovering saucer nears ground then disappears in sky,6/25/2020,41.5888,-93.6203
4/30/2020 21:05,Titusville,FL,us,Light,12 minutes,Objects look like stars but moving fast in one line. ((Starlink satellites?)),6/25/2020,28.6092,-80.8076
4/30/2020 21:00,Coral Gables,FL,us,Light,5 min,A couple stopped me and told me &quot;Am I crazy or those lights are moving? ((Starlink satellites?)),6/25/2020,25.7103,-80.2687
4/30/2020 21:00,Palm Bay,FL,us,Light,5 minutes,15 plus lights traveling in perfect straight line. Appeared as bright as a star.,6/25/2020,27.999,-80.6727
4/30/2020 21:00,Seabrook,TX,us,Formation,2 minutes,19 fast flying silent UFOs in formation. ((Starlink satellites?)),6/25/2020,29.5639,-95.0258
4/30/2020 21:00,Ocala,FL,us,Light,Varied,I went out to smoke i always watch the sky when i seen 6 white lights high in the sky flying 2x2 with 1 in the front lasted for about 1,6/25/2020,29.1893,-82.1378
4/30/2020 21:00,Dover,FL,us,Light,5 minutes,String of lights in Tampa Bay area.. ((Starlink satellites?)),6/25/2020,27.9949,-82.2131
4/30/2020 20:50,Baton Rouge,LA,us,Formation,5 minutes,Line of light moving across the sky. ((Starlink satellites?)),6/25/2020,30.4495,-91.0934
4/30/2020 20:15,Clermont,FL,us,Cigar,5 Minutes,I saw 20+ bright lights cross the sky to the West below the moon. ((Starlink satellites?)),6/25/2020,28.5553,-81.7704
4/30/2020 20:10,Truth or Consequences,NM,us,Circle,10 seconds,Was visible to the north. Two large circular red lights. Moved from east to west. Both lights appeared and then they moved west one ov,6/25/2020,33.1332,-107.2504
