latitude,longitude,geometry,city,zip,dst,geopoint,state,timezone
38.654948,-99.32062,Point,Liebenthal,67553,1,"38.654948,-99.32062",KS,-6
32.335122,-111.14888,Point,Tucson,85743,0,"32.335122,-111.14888",AZ,-7
32.767268,-96.777626,Point,Irving,75016,1,"32.767268,-96.777626",TX,-6
41.350484,-87.62408,Point,Beecher,60401,1,"41.350484,-87.62408",IL,-6
39.24344,-105.79431,Point,Como,80432,1,"39.24344,-105.79431",CO,-7
39.773145,-95.233817,Point,Wolf River,66081,1,"39.773145,-95.233817",KS,-6
40.524987,-104.850544,Point,Severance,80546,1,"40.524987,-104.850544",CO,-7
45.120764,-93.43183,Point,Osseo,55369,1,"45.120764,-93.43183",MN,-6
46.375238,-116.666843,Point,Culdesac,83534,1,"46.375238,-116.666843",ID,-8
44.025446,-91.77304,Point,Stockton,55988,1,"44.025446,-91.77304",MN,-6
46.040316,-96.31772,Point,Nashua,56565,1,"46.040316,-96.31772",MN,-6
42.118019,-84.49338,Point,Horton,49246,1,"42.118019,-84.49338",MI,-5
46.214772,-97.66923,Point,Gwinner,58040,1,"46.214772,-97.66923",ND,-6
43.385425,-93.77734,Point,Thompson,50478,1,"43.385425,-93.77734",IA,-6
34.032383,-119.1343,Point,Newbury Park,91319,1,"34.032383,-119.1343",CA,-8
33.91355,-117.46052,Point,Riverside,92503,1,"33.91355,-117.46052",CA,-8
38.377411,-121.444429,Point,Sacramento,94211,1,"38.377411,-121.444429",CA,-8
34.877531,-85.84528,Point,Stevenson,35772,1,"34.877531,-85.84528",AL,-6
40.079115,-82.40054,Point,Newark,43055,1,"40.079115,-82.40054",OH,-5
48.890892,-118.64475,Point,Curlew,99118,1,"48.890892,-118.64475",WA,-8
39.326987,-83.68731,Point,New Vienna,45159,1,"39.326987,-83.68731",OH,-5
41.223389,-93.94309,Point,Peru,50222,1,"41.223389,-93.94309",IA,-6
35.275808,-84.76927,Point,Charleston,37310,1,"35.275808,-84.76927",TN,-5
37.701997,-97.28114,Point,Wichita,67208,1,"37.701997,-97.28114",KS,-6
44.780427,-91.48065,Point,Eau Claire,54701,1,"44.780427,-91.48065",WI,-6
42.264356,-97.601337,Point,Hadar,68738,1,"42.264356,-97.601337",NE,-6
35.561834,-91.62566,Point,Pleasant Plains,72568,1,"35.561834,-91.62566",AR,-6
40.032262,-101.96041,Point,Haigler,69030,1,"40.032262,-101.96041",NE,-7
35.491184,-97.16132,Point,Harrah,73045,1,"35.491184,-97.16132",OK,-6
38.897344,-104.70145,Point,Colorado Springs,80922,1,"38.897344,-104.70145",CO,-7
47.281173,-101.9254,Point,Zap,58580,1,"47.281173,-101.9254",ND,-7
36.139826,-96.029725,Point,Tulsa,74194,1,"36.139826,-96.029725",OK,-6
41.135335,-79.79791,Point,Eau Claire,16030,1,"41.135335,-79.79791",PA,-5
34.146356,-99.214088,Point,Vernon,76385,1,"34.146356,-99.214088",TX,-6
41.938498,-75.34499,Point,Starlight,18461,1,"41.938498,-75.34499",PA,-5
30.805099,-95.50719,Point,Huntsville,77320,1,"30.805099,-95.50719",TX,-6
41.449364,-74.43951,Point,Middletown,10940,1,"41.449364,-74.43951",NY,-5
37.168435,-93.31297,Point,Springfield,65807,1,"37.168435,-93.31297",MO,-6
44.731571,-74.53485,Point,Dickinson Center,12930,1,"44.731571,-74.53485",NY,-5
46.892518,-98.375536,Point,Eckelson,58432,1,"46.892518,-98.375536",ND,-6
41.465811,-73.39982,Point,Brookfield,6804,1,"41.465811,-73.39982",CT,-5
40.996127,-97.2052,Point,Staplehurst,68439,1,"40.996127,-97.2052",NE,-6
40.515485,-88.98629,Point,Normal,61761,1,"40.515485,-88.98629",IL,-6
41.177156,-78.04399,Point,Pottersdale,16871,1,"41.177156,-78.04399",PA,-5
29.825908,-95.7301,Point,Katy,77449,1,"29.825908,-95.7301",TX,-6
43.023347,-78.79494,Point,Buffalo,14228,1,"43.023347,-78.79494",NY,-5
48.503927,-104.48487,Point,Medicine Lake,59247,1,"48.503927,-104.48487",MT,-7
40.075617,-79.89611,Point,Newell,15466,1,"40.075617,-79.89611",PA,-5
41.919808,-88.30498,Point,Saint Charles,60174,1,"41.919808,-88.30498",IL,-6
36.126446,-95.86763,Point,Tulsa,74129,1,"36.126446,-95.86763",OK,-6
